,战队,KDA,发育,一血,推塔,控龙,终结
0,LGD大鹅,10.0,10.0,7.0436507936507935,10.0,10.0,9.65633377953333
1,AG超玩会,9.300912581754108,8.508771929824562,7.7182539682539675,9.516129032258064,6.182539682539683,7.564305149895196
2,DYG,9.117803668196144,8.37719298245614,10.0,8.870967741935484,7.984126984126985,10.0
3,TS,8.889833842451171,7.368421052631579,6.468253968253968,7.580645161290322,6.190476190476191,6.845066353918529
4,TTG.XQ,8.527040144302424,7.792397660818713,9.087301587301589,8.387096774193548,6.9603174603174605,8.785366518382508
5,QGhappy,7.802765067854981,6.374269005847953,9.007936507936508,7.741935483870968,7.158730158730158,5.72697637521137
6,RNG.M,7.797427543839448,7.309941520467836,7.638888888888889,8.225806451612904,6.444444444444445,7.063634734260363
7,WE,7.601856627127384,7.792397660818713,7.261904761904762,8.064516129032256,7.412698412698413,9.235703979349925
8,GK,7.538489779204458,7.06140350877193,7.261904761904762,7.741935483870968,6.134920634920636,8.25301077953566
9,TES,6.153111738933859,6.023391812865497,5.952380952380952,6.612903225806452,6.182539682539683,7.8840060655053765
10,VG,5.797238504819732,6.8274853801169595,7.063492063492063,6.612903225806452,6.53968253968254,8.008181740441085
11,Hero,5.784747901411402,5.0,7.261904761904762,5.0,5.666666666666667,7.379865193493901
12,RW侠,5.697847464023527,6.242690058479532,5.0,6.612903225806452,5.0,7.492860591955525
13,eStarPro,5.6795424938420425,6.652046783625731,6.7857142857142865,7.096774193548387,6.761904761904762,5.651753062976814
14,YTG,5.685629960669839,6.169590643274853,5.277777777777778,6.129032258064516,6.920634920634922,5.0
15,EDG.M,5.0,5.643274853801169,7.023809523809524,5.64516129032258,5.9523809523809526,7.356921219476588
